words,sentiment_coeff
还有,56.671767846173665
每次,55.393930515038164
去,31.96269693698374
学校,63.89442245161074
带,56.18898095117995
了,14.380219939894468
水,59.45654125882549
就,21.8551233061902
不,28.053820103420257
口渴,92.49878315567915
不带,55.05807273913178
打脸,3.3776280061149864
像_极了,76.92671403396756
我弟,63.43141899780146
我,12.248176035957737
现在,40.42435177816981
也,23.067581202830915
这样,35.45586232356296
捂脸,19.734804748283953
哈哈哈,24.16638218608467
还,30.237752910106153
真是,63.82337210278667
太_真实,73.54333062002371
原来,44.194116565945265
这,31.679736716271268
是,20.974633054518428
全国_统一,52.1721779866257
啊,39.181140702939075
没有,41.46368548049996
经历_过,62.95538011437769
的,9.488161043157243
小盆友,94.2855035353457
童年,67.19136695945343
完整,69.81366924687602
流泪,33.04126271614756
每天,39.565949725964686
就是,32.071214001272615
然后_再,52.88903438090857
出去玩,59.16728165016919
哈哈哈哈_哈哈哈哈,2.393520455930751
哈哈哈哈,18.49003173925243
谁_敢,62.46340326148844
在,24.94145456304436
回家,56.42908177478021
饮料,61.752878673721256
看,23.98707279268923
声音,65.09837689471748
真的,17.52640766313744
太,69.04372395598432
熟悉,82.2996409434813
咋_这么,72.35494819892776
真实,73.95196297326672
鄙人_有幸,68.09439003305677
绿茶,46.83455463961038
喝,48.66019805475356
到,32.17634100150283
那种,55.75682674949108
泣不成声_泣不成声,22.027692414784806
喝_不了,90.52581958893897
不要,44.366607901602215
泣不成声,29.390112631585467
泥,64.46937264619864
酱,76.75758905618079
是不是,58.7307431609483
点,70.29561236247314
什么,38.805309441094934
不是,21.561241638054568
我俩,61.52111817785376
吧,41.98076752650252
哈哈哈_哈哈,74.81994494110319
小星星,76.41686534919761
哈哈哈哈_哈哈哈,11.31358265824353
呼吸,52.7600222643929
你,14.778977027293942
说,27.631704654927795
都,14.87583681590866
忘_了,65.77781475040312
安稳,95.18359105281141
叫,52.78196053646013
黑脸,24.11790189194038
嗯,56.68330888482725
?,45.0759101640147
白眼,70.42769800865172
泪奔,38.027807140739796
河南,64.23626532237813
王一博,78.14014792577098
哈哈,54.349599547292605
哈哈哈_哈哈哈,14.493483503180421
一样,48.13628753962629
直接,61.58909523221037
怼,64.49447221574135
水壶,92.60554127794565
我家,57.39559770359052
狗子,68.13799937466237
出去,47.44427721917582
之后,57.68384398510872
回来,58.00214541618887
第一件_事,81.62557924897956
吨,72.51854994014795
喝水,71.43677050260494
喝完,63.068514621475984
趴,50.365034899873194
那,42.968668910036364
抱歉,71.21691852003147
后,51.0500705435968
继续,58.49588367786267
抠鼻,49.8714760533649
笑_死,46.95021705513501
这个,24.38502331428276
杯子,64.81502622743729
还是,40.811308745277415
同款,78.40873693593628
今晚,71.68514910668732
这么,55.789861765462526
像,50.266592007102844
得,46.245002698206484
绝_了,12.461405656307049
绝,48.22228278095314
余生,67.26956945595325
瑶瑶,67.02066069771584
.,43.75967221789595
笑哭,37.23961563063545
还好,70.38111090394403
猫,63.97781334699286
到_现在,62.89560031866174
沦陷,99.34226976951263
那_时候,61.14134055191192
奶奶,59.8514934059866
喜欢,33.13711109915866
灌,91.0931567227991
懂,61.38488947863401
块,73.54154636750836
就要,63.96335542128642
品牌,75.27308693830328
懂吗,77.93706888787531
买不起,70.5394861808089
买,34.67502436643218
国外,57.16695887959056
奢侈品,39.75608212143015
国内,45.26313471018567
咱们,62.28211761776914
只能,57.36824229307683
点赞,49.76188957164602
支持,42.180792488584544
下去,65.29716511560203
传统,53.68382193956985
一直,55.735899201684
发展,61.0354466434753
起来,64.35601211690084
国粹,54.55414337047375
不是_一般,70.51653395404907
人能,53.336050205476326
消费,59.26580526425139
起,57.221336522352615
一定,53.435113410260726
因为,38.342966800243076
比,46.33330901048543
不了,37.29674420527316
主要_是,68.29564074180522
扛着,81.49025933746663
我想静静,46.95431691078622
哇,81.65729550235056
比_不过,86.10994966725274
我们,39.02430903044862
自己,29.504044368004475
根本_就,71.33525848606487
呀,42.67256557925194
赞,35.05031479350452
抠鼻_抠鼻,22.165743352444995
赞赞赞,15.600706105075208
还_能,59.96296743878714
有,26.535684000480494
个,21.75310413327346
看起来,78.28237922946984
差不多,62.368020723422994
不比,75.74780629437525
便宜,68.74614266381502
好看,59.67637555258849
我妈,65.52436760373124
一个,24.448959359607866
珐琅,94.12065545440082
手镯,94.36130006592002
呢,42.96626793835269
好,36.24872926626121
贵,64.6491617259465
多少钱,66.40720610124839
卖,56.85468374636221
他,24.641380107409983
主要,71.38362040765607
咱们_国家,88.19550438561852
真,62.382283474634264
一串,66.97529800852807
给,35.66211187472443
推送,72.23810526752366
屁股,61.17142344534009
上,35.17604335835611
一,47.71346367601653
价格,62.124149396455074
看不上,28.15987691952997
而是,50.73045430632024
别看,68.23822294710554
漂,91.93763317660957
亮,51.81160258265273
一下,46.82072034932007
他们,41.321921660690656
根本,44.32541439269683
边,51.405716273099685
跟,36.16775421642708
炒菜,77.58439595330812
中国,25.142402287933415
吃不起,66.35773536729246
还_没到,91.95427938621764
没,33.18635064450435
飘,67.15634583854248
买个,58.03340219115362
包,69.23593950464142
上街,85.9337374435729
干什么,62.62571309345371
用,38.173607503331525
逼,15.949453323007438
反正,67.74122892820992
所以,42.495666228171835
不能,42.00686185374233
上市,82.94455983107825
买卖,61.994202542115985
而已,63.22833352838234
可以,43.21071490167527
漂亮,53.01936397151947
外行,96.2884975674581
加上,58.26798935604664
东西,44.07743542211594
放在,55.94977820004739
才,15.051371575516775
家,65.87239220937678
不_实用,87.91572806404301
老王,73.73606838572746
应该,48.17403046393218
飞机,65.54771652269206
游轮,85.83448062288606
啥,49.61310660213348
光,55.77080043950625
折射,82.52180118945267
下课,86.5634755179999
跑,47.414295284266736
食堂,88.88962755610775
方向,58.344423046617436
厕所_门,92.82555930587631
对,41.11124594579718
门,53.09105944381748
起码,58.87307109218741
扣分,102.0355618133509
两个,62.16461291084011
平,62.005758540984566
这么_大,55.857448723328
叫_啥,71.72714837138233
先,65.06966374555746
来,47.26085135757231
两套,96.13135643820024
着,47.341803308189334
主卧门,89.47184296222215
微笑,48.75396652218839
怎么,38.29325105471202
谁家,46.31588168642889
平米,69.05739682145494
房子,57.961480738337066
入户门,90.39149456820385
都_流行,84.06054975308477
把,26.443064971166258
阳台,61.751969605763584
旁边,68.67667437585858
卧室,34.862254100535864
长度,82.93126899798615
别的,60.58593980765682
要是,58.63140350705196
头,70.15561291023435
主卧,89.1200562836706
这个_户型,76.8735680732807
北方,54.463799979512295
满大街,92.56768360227527
设计,51.33748269006614
对面,54.84258592487604
完美,71.23037614126073
不错,72.32376422247673
但是,36.97444066458592
不会,41.78428256020328
盖,49.139477398542056
户型,62.52145201599637
风水,55.39685076069849
穷得,82.56391653984548
很,34.19420980408966
做,37.12470266866468
不_信,12.209058343542033
觉得,42.04679791332068
我们_家,64.87206226004079
后期,56.37997875365154
证明,75.33874529045039
移,91.17192928815092
避免,83.89846599776585
门_对,84.14473162322925
缺点,67.65087074009867
很_舒服,95.12856880385215
安逸,70.10806450483827
关键,68.4011308870912
还要,59.187764512924524
楼,60.50315555593644
组合,88.6098224896382
比如,57.41910114254958
这家,61.87997513087709
有没有,70.6791367685691
不行,57.36762924202651
你们,44.00225133139424
个头,67.51065249380694
傻瓜,94.40032663749766
确实_有点,87.6869943905854
然后,35.03878913896905
美国,43.28726353088276
部门,85.11287096329876
全,63.38994777879646
视角,62.597768580232625
你家,66.50745761679987
放,60.410910652786825
门口,58.184247018703175
当,48.70153688920993
太小,74.11245856765508
合适,66.30104543237394
太帅_了,72.45716549437135
设备,65.53136540429757
开关,84.17138421519599
挺_好,70.73456224201954
一堆,17.833645917561977
随时,62.309863375845204
啥时候,77.19025935049982
直播,77.6851968238779
充电器,75.37516479438288
有点_意思,97.60914524304049
以,60.662506024790865
智商,59.02898724402499
想,38.980135008489256
实现,61.59469250616363
太难_了,73.34307299064012
连,56.18492139761084
竟然,70.27663312417887
拿来_当,61.76792152860272
又,39.00178873063374
穷人,41.65862689628519
系列,72.12234335367823
活,63.973001678988496
不然,51.93450697875115
进去,58.117092334536004
请问,67.75090299490677
木,91.7837639969445
在_哪里,78.70192283929947
求,73.15279390617302
链接,64.29395582626935
什么_品牌,80.15947077841169
哪里,62.40342922797132
可以_买到,92.12951831751639
创意,62.18385061716181
研究,62.959608656442526
家庭,58.20169889050367
几千块_钱,90.90785759492383
能,37.348896244483385
闲置,91.1036088176141
之,62.33572962191294
墙上,69.06991859689109
叫_什么,65.47698488031672
麻烦,67.13317961337314
二,72.26046938966321
套房,65.39339350956384
价,73.8518882602318
抢生意,92.14935927664649
抢,46.05410607601858
艺术,66.39241151369275
小哥,74.01109337485369
扛,57.083023058767644
赢,72.4931786745676
拿,27.854184743318537
钱,37.977342578533865
输,65.86658177030395
走人,62.98478471510996
魔法,58.86248436516924
老外,73.77259556664924
好几年,75.63198610159287
让_他,52.02790197974623
知道_社会,36.03348829721616
险恶_看,63.745692014440664
干_啥,69.31314751200098
发呆_发呆,11.175762969537656
赤裸裸,86.88664555213242
超越,56.39491878665932
拍_视频,67.40992723130734
肯定,57.726037228047396
不_需要,64.21536226689922
机智,67.18965710604208
呲牙,27.685430758103248
胶水,51.121684949632915
这_小子,62.85147404149357
多才多艺,68.14317866669684
网卡,98.23935776382531
这_配音,82.57919528693915
带个,51.25343422313415
墨镜,84.25933187719744
人家,42.77100556577118
这_玩意,77.7416986143611
戴,49.5009128405097
要,34.328921160187626
偷偷,65.35043183153874
眨眼,71.2970138943193
会,34.947091870281525
被,21.157075853046223
发现,21.863169035147504
太阳,70.1359730518878
大,64.09192744007166
刚,61.78481312902558
不_习惯,54.41085709673099
每_一天,58.6255457544336
可能_会,64.48710312607372
刷新,85.82454092746059
世界观,96.40395218807126
事,54.7828022985749
知道,47.944602723451546
在_干嘛,72.3797037191216
堕落,96.96714063373419
别人,33.157392016533464
那么,52.0293305240787
心酸,68.47525023484272
穿,41.56118367224527
爱情,69.85885374943717
十一,82.56693416102887
无,61.03380670170798
躺_着,70.01659449505037
晒,57.25455492048161
成,54.7420378343727
可能,51.43484704158553
和,33.72796738122358
晒太阳,94.49530907434536
怕,59.578620359204265
睡觉,38.33076163914007
说不定_人家,85.74694028523703
衣服,53.28779045413592
热,52.413792995694834
毛钱,81.18111936986283
伤心,61.17401786445443
经常,58.56993951367417
...,72.12467352322079
挺,71.01850625868487
突然,53.78582694098652
咋,42.03843902010823
只是,51.841205957598476
玩个,81.04264032441459
万一,46.122735265538424
疫情_期间,58.39824952303945
不许,67.38040508010741
瞬间,66.57071208726552
捏,70.59710495681912
雷,74.00350121733376
池鱼,93.58957883033057
立刻,90.1583427391763
学校_里,96.87987484560063
一趟,49.53454452711217
酷拽,36.44694137123206
我操,53.21406705772171
这么_多,66.42620424387817
男孩子,57.92995004309341
有点_害怕,100.59975933212425
中间,64.47594193720796
整,72.48704807356677
擦,58.2356149623073
男,34.742497890740474
打扰,64.23046857661697
我能,68.22052023129243
摔,61.426940778219645
十个,59.016906402787406
好吃,63.956007344062776
周周,88.24796376623101
猪猪,68.71808718991515
班长,61.037880008129605
挑_一个,87.75364480859407
看看,57.39998662727517
呆,63.23572915086389
一年,66.37480790771902
路过,71.19827410689392
直呼,90.39459794638442
哎_呦,70.73523490482215
三十年,83.48847238876104
回去,51.582135095872175
老乡,70.13102117225183
城,75.24973299951988
一口,50.69320353998657
地道,77.36398463396765
腔,92.90177016720257
灵机一动,72.11877594644623
华为,65.06207791292148
班车,54.36082051745375
摇,71.38393062603797
腾讯,66.7495211037337
招,59.901871733050065
客服,57.294028466729436
要求,55.733056408495756
大专,93.9290376639588
以上,46.071020870725235
云,70.2552638870326
否定,86.60425618191054
失败,44.123784842936345
永远,61.447722860477484
成功,56.275880909368425
电商,57.118024005124546
公司,60.00089999853273
只,53.13515966177106
坐_过,65.661616844653
上班,51.9428935394121
班,52.94281568462134
下班,52.56377965872014
一次,47.62975664717765
你_细品,84.29067993859528
看看_看,36.13238046965954
貌似,75.19159832127275
大巴,87.9312164759213
变相,77.13258432784632
鼓励,62.83534745350899
员工,55.11112098729752
加班,62.427915815745585
里面,53.34552779408383
人,30.988922400067764
几百,62.10864281132623
张大,89.9884454578781
早就,70.8316120898133
不失礼貌的微笑,62.2552094598887
绝望的凝视_绝望的凝视,31.63262176574181
绝望的凝视,44.320403710505914
么,55.234642473349254
拉屎,91.33510771227064
妈,70.79146015679065
爱,36.36272958075072
蹲个,89.58522580352981
上衣,56.27999506713727
吗,30.901207284472022
杨_幂,92.32684437926324
烫,62.6187025486105
这种,49.071026923613296
头发,62.398483404867164
眼睛,59.722929878220135
长得,64.57440704684213
不赖,63.66936052513175
什么_颜色,63.02430216155632
癞蛤蟆,25.92139446428273
染,70.1607406761412
坏笑_坏笑,27.466028471846126
天天,62.088783213815546
这是_什么,84.57979826835529
歌,78.71145845242386
女朋友_生气,83.27825915836667
抽,47.76651809225853
赚钱,63.52150646825048
先给,87.3327601806894
她,25.50329121506225
花,53.840973813069446
让_她,57.6518754422603
在_一起,58.00597376311137
眼泪,51.19301220666908
戴口罩,25.21961699348163
气质,63.88292682416245
有_一点点,93.74170140985875
饭,57.56706394376395
感觉,43.04398629389585
哪个,63.17552840968061
网红,72.24697691271703
喷,60.76914541494087
火箭筒,90.27695566955305
吐舌_吐舌,28.34819302562247
